,Author,Title,State,District,DateBan,Country,Description
2683,Anonymous,The Holy Bible (King James Version),Pennsylvania,Penncrest School District,2023-02-01,USA,Banned Pending Investigation
2684,Anonymous,"The Holy Bible: Revised Standard Version Containing the Old and New Testaments, with the Apocrypha/Deuterocanonical Books",Florida,Brevard Public Schools,2023-06-01,USA,Banned from Libraries and Classrooms
2685,Anonymous,The New American Bible,Pennsylvania,Penncrest School District,2023-02-01,USA,Banned Pending Investigation
2686,"Araki, Hirohiko","Jojo's Bizarre Adventure: Part 1 - Phantom Blood, Vol. 1",Texas,Frisco Independent School District,2022-10-01,USA,Banned from Libraries
2687,"Araki, Hirohiko","Jojo's Bizarre Adventure: Part 1 - Phantom Blood, Vol. 2",Texas,Frisco Independent School District,2022-10-01,USA,Banned from Libraries
2688,"Araki, Hirohiko","Jojo's Bizarre Adventure: Part 1 - Phantom Blood, Vol. 3",Texas,Frisco Independent School District,2022-10-01,USA,Banned from Libraries
2689,"Armentrout, Jennifer L.",Every Last Breath,Florida,Clay County School District,2022-09-01,USA,Banned Pending Investigation
2690,"Armentrout, Jennifer L.",From Blood and Ash,Florida,Escambia County Public Schools,2022-09-01,USA,Banned Pending Investigation
2691,"Armentrout, Jennifer L.",From Blood and Ash,Florida,St. John's County School District,2023-01-01,USA,Banned Pending Investigation
2692,"Armentrout, Jennifer L.",Grace and Glory,Florida,Clay County School District,2022-09-01,USA,Banned Pending Investigation
2693,"Armentrout, Jennifer L.",Kingdom of Flesh and Fire,Florida,Escambia County Public Schools,2022-10-01,USA,Banned Pending Investigation
2694,"Armentrout, Jennifer L.",Kingdom of Flesh and Fire,Florida,St. John's County School District,2023-01-01,USA,Banned Pending Investigation
2695,"Armentrout, Jennifer L.",Obsidian,Idaho,Kuna School District,2023-02-01,USA,Banned Pending Investigation
2696,"Armentrout, Jennifer L.",Rage and Ruin,Florida,Clay County School District,2022-09-01,USA,Banned Pending Investigation
2697,"Armentrout, Jennifer L.",Storm and Fury,Florida,Clay County School District,2022-09-01,USA,Banned Pending Investigation
2698,"Armstrong, Kelley",Watcher in the Woods: A Rockton Novel,Texas,Frisco Independent School District,2022-10-01,USA,Banned Pending Investigation
2699,"Arnold, Elana K.",Damsel,Florida,Clay County School District,2022-09-01,USA,Banned from Libraries and Classrooms
2700,"Arnold, Elana K.",Damsel,Florida,Escambia County Public Schools,2022-10-01,USA,Banned Pending Investigation
