,Author,Title,State,District,DateBan,Country,Description
0,"Àbíké-Íyímídé, Faridah",Ace of Spades,Florida,Indian River County School District,2021-11-01,USA,Banned in Libraries and Classrooms
1,"Acevedo, Elizabeth",Clap When You Land,Pennsylvania,Central York School District,2021-08-31,USA,Banned in Classrooms
2,"Acevedo, Elizabeth",The Poet X,Florida,Indian River County School District,2021-11-01,USA,Banned in Libraries
3,"Acevedo, Elizabeth",The Poet X,New York,Marlboro Central School District,2022-02-01,USA,Banned in Libraries and Classrooms
4,"Acevedo, Elizabeth",The Poet X,Texas,Fredericksburg Independent School District,2022-03-01,USA,Banned Pending Investigation
5,"Acevedo, Elizabeth",The Poet X,Virginia,New Kent County Public Schools,2021-10-01,USA,Banned in Libraries
6,"Aciman, André",Call Me By Your Name (Call Me By Your Name Series),Virginia,Spotsylvania County Public Schools,2021-11-01,USA,Banned Pending Investigation
7,"Acito, Marc","How I Paid for College: A Novel of Sex, Theft, Friendship & Musical Theater (Edward Zanni Series)",Florida,Indian River County School District,2021-11-01,USA,Banned Pending Investigation
8,"Ada, Alma Flor",My Name Is María Isabel,Florida,Duval County Public Schools,2022-01-01,USA,Banned Pending Investigation
9,"Addasi, Maha",Time to Pray,Florida,Duval County Public Schools,2022-01-01,USA,Banned Pending Investigation
10,"Adeyemi, Tomi",Children of Blood and Bone (Legacy of Orïsha Series),Texas,Katy Independent School District,2022-01-01,USA,Banned Pending Investigation
11,"Adeyoha, Koja","47,000 Beads",Pennsylvania,Central York School District,2021-08-31,USA,Banned in Classrooms
12,"Adichie, Chimamanda Ngozi",Half of a Yellow Sun,Michigan,Hudsonville Public Schools,2022-01-01,USA,Banned in Classrooms
13,"Adler, Dahlia",Cool for the Summer,Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
14,"Agell, Charlotte",The Accidental Adventures of India McAllister,Texas,North East Independent School District,2021-12-01,USA,Banned in Libraries
15,"Ahmadi, Arvin",How It All Blew Up,Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
16,"Ahmadi, Arvin",How It All Blew Up,Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
17,"Ahmed, Roda",Mae Among the Stars,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
18,"Ahmed, Samira","Love, Hate & Other Filters",Mississippi,Madison County Schools,2022-04-01,USA,Banned in Libraries
19,"Ahmed, Samira","Love, Hate & Other Filters",Wisconsin,School District of Waukesha,2021-12-01,USA,Banned in Libraries
20,"Ahmed, Sara K.",Being the Change: Lessons and Strategies to Teach Social Comprehension,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
21,"Ahmed, Sara K.",Being the Change: Lessons and Strategies to Teach Social Comprehension,Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
22,"Albertalli, Becky",Here's to Us,Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
23,"Albertalli, Becky",Kate in Waiting,Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
24,"Albertalli, Becky",Leah on the Offbeat (Simonverse Series),Idaho,Nampa School District,2022-05-01,USA,Banned in Libraries and Classrooms
25,"Albertalli, Becky",Leah on the Offbeat (Simonverse Series),Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
26,"Albertalli, Becky","Love, Creekwood: A Simonverse Novella (Simonverse Series)",Texas,North East Independent School District,2021-12-01,USA,Banned in Libraries
27,"Albertalli, Becky",Simon vs. the Homo Sapiens Agenda (Simonverse Series),Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
28,"Albertalli, Becky",Simon vs. the Homo Sapiens Agenda (Simonverse Series),Texas,Granbury Independent School District,2022-01-01,USA,Banned Pending Investigation
29,"Albertalli, Becky",Simon vs. the Homo Sapiens Agenda (Simonverse Series),Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
30,"Albertalli, Becky",The Upside of Unrequited (Simonverse Series),Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
31,"Albertalli, Becky",The Upside of Unrequited (Simonverse Series),Texas,Granbury Independent School District,2022-01-01,USA,Banned Pending Investigation
32,"Albertalli, Becky",The Upside of Unrequited (Simonverse Series),Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
33,"Albertalli, Becky",What If It's Us (What If It's Us Series),Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
34,"Albertalli, Becky",What If It's Us (What If It's Us Series),Texas,Granbury Independent School District,2022-01-01,USA,Banned Pending Investigation
35,"Albertalli, Becky",What If It's Us (What If It's Us Series),Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
36,"Aleman, Daniel",Indivisible,Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
37,"Alexander, Kwame",The Undefeated,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
38,"Alexander, Michelle",The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
39,"Alexander, Michelle",The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Texas,Klein Independent School District,2021-12-01,USA,Banned Pending Investigation
40,"Alexander, Michelle",The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
41,"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Florida,Indian River County School District,2021-11-01,USA,Banned in Libraries
42,"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Florida,Jackson County School District,2022-04-01,USA,Banned in Libraries and Classrooms
43,"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Florida,Lee County Schools,2022-03-01,USA,Banned in Libraries and Classrooms
44,"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Florida,Santa Rosa County District Schools,2022-04-01,USA,Banned Pending Investigation
45,"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Florida,St. Lucie Public Schools,2022-01-01,USA,Banned in Libraries
46,"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Florida,Walton County School District,2022-04-01,USA,Banned Pending Investigation
47,"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Georgia,Forsyth County Schools,2022-01-01,USA,Banned in Libraries
48,"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Idaho,Nampa School District,2022-05-01,USA,Banned in Libraries and Classrooms
49,"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Iowa,Ankeny Community School District,2021-11-01,USA,Banned in Libraries
50,"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Iowa,Ottumwa Community School District,2022-04-01,USA,Banned Pending Investigation
51,"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Kansas,Derby Public Schools,2021-11-01,USA,Banned in Libraries and Classrooms
52,"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Kansas,Goddard Public Schools,2021-11-01,USA,Banned Pending Investigation
53,"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Michigan,Gladwin Community Schools,2022-05-01,USA,Banned Pending Investigation
54,"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Mississippi,Madison County Schools,2022-04-01,USA,Banned in Libraries
55,"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Oklahoma,Bristow Public Schools,2021-10-01,USA,Banned Pending Investigation
56,"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Texas,Fredericksburg Independent School District,2022-03-01,USA,Banned Pending Investigation
57,"Alexie, Sherman",Thunder Boy Jr.,Florida,Duval County Public Schools,2022-01-01,USA,Banned Pending Investigation
58,"Alger, Cristina",Girls Like Us (2019),Florida,Indian River County School District,2021-11-01,USA,Banned in Libraries
59,"Alko, Selina",The Case for Loving: The Fight for Interracial Marriage,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
60,"Allende, Isabel",The House of the Spirits,Florida,Indian River County School District,2021-11-01,USA,Banned Pending Investigation
61,"Alley, Kristy Dallas",The Ballad of Ami Miles,Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
62,"Allison, Anthony",Hear These Voices: Youth at the Edge of the Millennium,Florida,Indian River County School District,2021-11-01,USA,Banned Pending Investigation
63,"Allman, John Robert",A is for Audra: Broadway's Leading Ladies from A to Z,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
64,"Altman, Linda Jacobs","Bioethics: Who Lives, Who Dies, And Who Decides?",Texas,Granbury Independent School District,2022-01-01,USA,Banned Pending Investigation
65,"Altman, Linda Jacobs","Bioethics: Who Lives, Who Dies, And Who Decides?",Texas,North East Independent School District,2021-12-01,USA,Banned in Libraries
66,Amnesty International,We Are All Born Free: The Universal Declaration of Human Rights in Pictures,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
67,"Anaya, Rudolfo","Bless Me, Ultima",Oklahoma,Bristow Public Schools,2021-10-01,USA,Banned Pending Investigation
68,"Ancrum, K.",The Weight of the Stars,Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
69,"Anders, Charlie Jane",Victories Greater Than Death (Unstoppable Series),Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
70,"Anderson, Airlie",Neither,Florida,Duval County Public Schools,2022-01-01,USA,Banned Pending Investigation
71,"Anderson, Carol",White Rage: The Unspoken Truth of Our Racial Divide,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
72,"Anderson, Laurie Halse",Shout,Texas,Granbury Independent School District,2022-01-01,USA,Banned Pending Investigation
73,"Anderson, Laurie Halse",Shout,Texas,Leander Independent School District,2021-09-01,USA,Banned in Classrooms
74,"Anderson, Laurie Halse",Shout,Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
75,"Anderson, Laurie Halse",Speak,Florida,Flagler Schools,2021-11-01,USA,Banned Pending Investigation
76,"Anderson, Laurie Halse",Speak,Florida,Indian River County School District,2021-11-01,USA,Banned Pending Investigation
77,"Anderson, Laurie Halse",Speak,Idaho,Nampa School District,2022-05-01,USA,Banned in Libraries and Classrooms
78,"Anderson, Laurie Halse",Speak,Michigan,Gladwin Community Schools,2022-05-01,USA,Banned Pending Investigation
79,"Anderson, Laurie Halse",Speak,Mississippi,Madison County Schools,2022-04-01,USA,Banned in Libraries
80,"Anderson, Laurie Halse",Speak,Oklahoma,Bristow Public Schools,2021-10-01,USA,Banned in Libraries
81,"Anderson, M. T.",Feed,Florida,Indian River County School District,2021-11-01,USA,Banned Pending Investigation
82,"Andrews, Arin",Some Assembly Required: The Not-So-Secret Life of a Transgender Teen,Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
83,"Andrews, Jesse",Me and Earl and the Dying Girl,Florida,Indian River County School District,2021-11-01,USA,Banned in Libraries and Classrooms
84,"Andrews, Jesse",Me and Earl and the Dying Girl,Florida,Osceola County School District,2022-04-01,USA,Banned Pending Investigation
85,"Andrews, Jesse",Me and Earl and the Dying Girl,Georgia,Forsyth County Schools,2022-01-01,USA,Banned in Libraries and Classrooms
86,"Andrews, Jesse",Me and Earl and the Dying Girl,Iowa,Ankeny Community School District,2021-11-01,USA,Banned in Libraries
87,"Andrews, Jesse",Me and Earl and the Dying Girl,Pennsylvania,Downingtown Area School District,2021-10-01,USA,Banned Pending Investigation
88,"Andrews, Jesse",Me and Earl and the Dying Girl,Pennsylvania,Elizabethtown Area School District,2022-04-01,USA,Banned Pending Investigation
89,"Andrews, Jesse",Me and Earl and the Dying Girl,Tennessee,Blount County Schools,2021-11-01,USA,Banned in Libraries
90,"Andrews, Jesse",Me and Earl and the Dying Girl,Texas,Cypress-Fairbanks Independent School District,2022-01-01,USA,Banned in Libraries
91,"Andrews, Jesse",Me and Earl and the Dying Girl,Texas,Fredericksburg Independent School District,2022-03-01,USA,Banned in Libraries and Classrooms
92,"Andrews, Jesse",Me and Earl and the Dying Girl,Texas,Granbury Independent School District,2022-01-01,USA,Banned Pending Investigation
93,"Andrews, Jesse",Me and Earl and the Dying Girl,Texas,Katy Independent School District,2021-11-01,USA,Banned in Libraries and Classrooms
94,"Andrews, Jesse",Me and Earl and the Dying Girl,Texas,Keller Independent School District,2021-11-01,USA,Banned in Libraries
95,"Andrews, Jesse",Me and Earl and the Dying Girl,Texas,Lamar Consolidated Independent School District,2021-12-01,USA,Banned Pending Investigation
96,"Andrews, Jesse",Me and Earl and the Dying Girl,Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
97,"Andrews, Jesse",The Haters,Florida,Brevard Public Schools,2022-03-01,USA,Banned Pending Investigation
98,"Andrews, Jesse",The Haters,Florida,Indian River County School District,2021-11-01,USA,Banned in Libraries
99,"Andrews, Jesse",The Haters,Michigan,Rochester Community Schools District,2022-04-01,USA,Banned Pending Investigation
100,"Andrews, Troy",The 5 O'Clock Band,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
101,"Andrews, Troy",Trombone Shorty,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
102,"Angelou, Maya",And Still I Rise,Texas,Klein Independent School District,2021-12-01,USA,Banned Pending Investigation
103,"Angelou, Maya",I Know Why The Caged Bird Sings,Oklahoma,Bristow Public Schools,2021-10-01,USA,Banned in Libraries and Classrooms
104,"Angelou, Maya",I Know Why The Caged Bird Sings,Oklahoma,Edmond Public Schools,2021-10-01,USA,Banned in Libraries and Classrooms
105,"Ansari, Aziz",Modern Romance: An Investigation,Missouri,Wentzville School District,2021-10-01,USA,Banned Pending Investigation
106,"Anstey, Cindy",Duels and Deception,Texas,Katy Independent School District,2022-04-01,USA,Banned in Libraries
107,"Apelqvist, Eva",LGBTQ Families: The Ultimate Teen Guide,Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
108,"Applegate, Katherine",Wishtree,Florida,Indian River County School District,2021-11-01,USA,Banned in Libraries and Classrooms
109,"Armentrout, Jennifer L.",Meet Cute: Some People Are Destined to Meet,Texas,Granbury Independent School District,2022-01-01,USA,Banned Pending Investigation
110,"Arnold, Elana K.",A Boy Called Bat (A Boy Called Bat Series),Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
111,"Arnold, Elana K.",Bat and the End of Everything (A Boy Called Bat Series),Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
112,"Arnold, Elana K.",Bat and the Waiting Game (A Boy Called Bat Series),Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
113,"Arnold, Elana K.",Damsel,Florida,Brevard Public Schools,2022-03-01,USA,Banned Pending Investigation
114,"Arnold, Elana K.",Infandous,Florida,Brevard Public Schools,2022-03-01,USA,Banned Pending Investigation
115,"Arnold, Elana K.",Infandous,Oklahoma,Bristow Public Schools,2021-10-01,USA,Banned in Libraries
116,"Arnold, Elana K.",Red Hood,Florida,Brevard Public Schools,2022-03-01,USA,Banned Pending Investigation
117,"Arnold, Elana K.",What Girls Are Made Of,Florida,Brevard Public Schools,2022-03-01,USA,Banned Pending Investigation
118,"Arnold, Elana K.",What Girls Are Made Of,Texas,Cypress-Fairbanks Independent School District,2022-04-01,USA,Banned in Libraries and Classrooms
119,"Arnold, Elana K.",What Girls Are Made Of,Texas,Frisco Independent School District,2022-05-01,USA,Banned in Libraries and Classrooms
120,"Asano, Inio",A Girl on the Shore,Ohio,Hudson City Schools,2021-09-01,USA,Banned in Libraries and Classrooms
121,"Asher, Jay",Thirteen Reasons Why,Florida,Indian River County School District,2021-11-01,USA,Banned Pending Investigation
122,"Asher, Jay",Thirteen Reasons Why,Florida,Jackson County School District,2022-04-01,USA,Banned in Libraries and Classrooms
123,"Asher, Jay",Thirteen Reasons Why,Florida,Lee County Schools,2022-05-01,USA,Banned in Libraries
124,"Asher, Jay",Thirteen Reasons Why,Florida,Polk County Public Schools,2022-01-01,USA,Banned in Libraries
125,"Asher, Jay",Thirteen Reasons Why,Florida,Santa Rosa County District Schools,2022-04-01,USA,Banned Pending Investigation
126,"Asher, Jay",Thirteen Reasons Why,Florida,St. Johns County School District,2022-05-01,USA,Banned in Libraries
127,"Asher, Jay",Thirteen Reasons Why,Florida,St. Lucie Public Schools,2021-12-01,USA,Banned in Libraries
128,"Asher, Jay",Thirteen Reasons Why,Florida,Walton County School District,2022-04-01,USA,Banned Pending Investigation
129,"Asher, Jay",Thirteen Reasons Why,Idaho,Nampa School District,2022-05-01,USA,Banned in Libraries and Classrooms
130,"Asher, Jay",Thirteen Reasons Why,Michigan,Gladwin Community Schools,2022-05-01,USA,Banned Pending Investigation
131,"Asher, Jay",Thirteen Reasons Why,Texas,Fredericksburg Independent School District,2022-03-01,USA,Banned Pending Investigation
132,"Asher, Jay",Thirteen Reasons Why,Texas,Katy Independent School District,2021-10-01,USA,Banned in Libraries
133,Atinuke,Anna Hibiscus (Anna Hibiscus Series),Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
134,"Atta, Dean",The Black Flamingo,Florida,Indian River County School District,2021-11-01,USA,Banned Pending Investigation
135,"Atta, Dean",The Black Flamingo,Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
136,"Atta, Dean",The Black Flamingo,Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
137,"Atwood, Margaret",The Handmaid's Tale,Florida,Indian River County School District,2021-11-01,USA,Banned Pending Investigation
138,"Atwood, Margaret",The Handmaid's Tale,Georgia,Forsyth County Schools,2022-01-01,USA,Banned in Libraries
139,"Atwood, Margaret",The Handmaid's Tale,Idaho,Nampa School District,2022-05-01,USA,Banned in Libraries and Classrooms
140,"Atwood, Margaret",The Handmaid's Tale,Kansas,Goddard Public Schools,2021-11-01,USA,Banned Pending Investigation
141,"Atwood, Margaret",The Handmaid's Tale,Michigan,Gladwin Community Schools,2022-05-01,USA,Banned Pending Investigation
142,"Atwood, Margaret",The Handmaid's Tale,Michigan,Rochester Community Schools District,2022-04-01,USA,Banned Pending Investigation
143,"Atwood, Margaret",The Handmaid's Tale,Texas,Fredericksburg Independent School District,2022-03-01,USA,Banned Pending Investigation
144,"Atwood, Margaret",The Handmaid's Tale,Texas,Klein Independent School District,2021-11-01,USA,Banned Pending Investigation
145,"Atwood, Margaret",The Handmaid's Tale,Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
146,"Atwood, Margaret",The Handmaid's Tale: The Graphic Novel,Kansas,Goddard Public Schools,2021-11-01,USA,Banned Pending Investigation
147,"Atwood, Margaret",The Handmaid's Tale: The Graphic Novel,Oregon,Medford School District 549C,2022-04-01,USA,Banned in Libraries
148,"Atwood, Margaret",The Handmaid's Tale: The Graphic Novel,Texas,Leander Independent School District,2021-09-01,USA,Banned in Classrooms
149,"Atwood, Margaret",The Handmaid's Tale: The Graphic Novel,Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
150,"Atwood, Margaret",The Testaments,Kansas,Goddard Public Schools,2021-11-01,USA,Banned Pending Investigation
151,"Atwood, Margaret",The Testaments,Texas,Fredericksburg Independent School District,2022-03-01,USA,Banned Pending Investigation
152,"Atwood, Megan",Raise the Stakes,Texas,North East Independent School District,2021-12-01,USA,Banned in Libraries
153,"Austrian, J.J.",Worm Loves Worm,Florida,Lee County Schools,2022-03-01,USA,Banned in Classrooms
154,"Austrian, J.J.",Worm Loves Worm,Florida,Walton County School District,2022-04-01,USA,Banned Pending Investigation
155,"Azmitia, M.",Rising Out,Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
156,"Bailey, Jacqui","Sex, Puberty, and All That Stuff: A Guide to Growing Up",Texas,North East Independent School District,2021-12-01,USA,Banned in Libraries
157,"Baldacchino, Christine",Morris Micklewhite and the Tangerine Dress,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
158,"Baldacchino, Christine",Morris Micklewhite and the Tangerine Dress,Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
159,"Banaji, Mahzarin R.",Blindspot: Hidden Biases of Good People,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
160,"Barakiva, Michael",One Man Guy,Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
161,"Bardoe, Cheryl",Nothing Stopped Sophie: The Story of Unshakable Mathematician Sophie Germain,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
162,"Bardugo, Leigh",Six of Crows (Six of Crows Series),Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
163,"Barnes, Derrick","Brand New School, Brave New Ruby (Ruby and the Booker Boys Series)",Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
164,"Barnes, Derrick",Crown: An Ode to the Fresh Cut,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
165,"Barnes, Derrick",I Am Every Good Thing,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
166,"Barnes, Derrick",Ruby Flips For Attention (Ruby and the Booker Boys Series),Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
167,"Barnes, Derrick",Slumber Party Payback (Ruby and the Booker Boys Series),Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
168,"Barnes, Derrick","Trivia Queen, 3rd Grade Supreme (Ruby and the Booker Boys Series)",Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
169,"Barnwell, Ysaye M.",No Mirrors in My Nana's House: Musical CD and Book,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
170,"Barrie, James Matthew",Peter Pan,Tennessee,Hamilton County Schools,2021-10-01,USA,Banned Pending Investigation
171,"Bartoletti, Susan Campbell",They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,Kansas,Goddard Public Schools,2021-11-01,USA,Banned Pending Investigation
172,"Bartoletti, Susan Campbell",They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,Texas,Granbury Independent School District,2022-01-01,USA,Banned Pending Investigation
173,"Bartoletti, Susan Campbell",They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,Texas,Klein Independent School District,2021-11-01,USA,Banned Pending Investigation
174,"Bartoletti, Susan Campbell",They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
175,"Barton, Bree",Heart of Thorns (Heart of Thorns Series),Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
176,"Barton, Bree",Soul of Cinder (Heart of Thorns Series),Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
177,"Barton, Bree",Tears of Frost (Heart of Thorns Series),Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
178,"Barzak, Christopher",Wonders of the Invisible World,Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
179,"Bashardoust, Melissa",Girls Made of Snow and Glass,Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
180,"Bayron, Kalynn",Cinderella Is Dead,Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
181,"Bayron, Kalynn",Cinderella Is Dead,Texas,Granbury Independent School District,2022-01-01,USA,Banned Pending Investigation
182,"Bayron, Kalynn",Cinderella Is Dead,Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
183,"Beashel, Amy",The Sky Is Mine,Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
184,"Beaty, Andrea","Sofia Valdez, Future Prez (Questioneers Picture Books Series)",Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
185,"Beaty, Daniel",Knock Knock: My Dad's Dream for Me,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
186,"Bechdel, Alison",Fun Home: A Family Tragicomic,Kansas,Goddard Public Schools,2021-11-01,USA,Banned Pending Investigation
187,"Bechdel, Alison",Fun Home: A Family Tragicomic,Michigan,Rochester Community Schools District,2022-04-01,USA,Banned Pending Investigation
188,"Bechdel, Alison",Fun Home: A Family Tragicomic,Missouri,Nixa Public Schools,2022-05-01,USA,Banned in Libraries and Classrooms
189,"Bechdel, Alison",Fun Home: A Family Tragicomic,Missouri,North Kansas City Schools,2021-10-01,USA,Banned Pending Investigation
190,"Bechdel, Alison",Fun Home: A Family Tragicomic,Missouri,Wentzville School District,2021-10-01,USA,Banned Pending Investigation
191,"Bechdel, Alison",Fun Home: A Family Tragicomic,Rhode Island,Pawtucket School Department,2021-12-01,USA,Banned in Libraries and Classrooms
192,"Bechdel, Alison",Fun Home: A Family Tragicomic,South Dakota,Rapid City Area Schools,2022-04-01,USA,Banned in Libraries and Classrooms
193,"Bechdel, Alison",Fun Home: A Family Tragicomic,Texas,Birdville Independent School District,2021-10-01,USA,Banned Pending Investigation
194,"Bechdel, Alison",Fun Home: A Family Tragicomic,Texas,Clear Creek Independent School District,2022-05-01,USA,Banned in Libraries and Classrooms
195,"Becker, Helaine",Counting on Katherine: How Katherine Johnson Saved Apollo 13,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
196,"Beckman, Wendy Hart","Dating, Relationships, And Sexuality: What Teens Should Know",Texas,North East Independent School District,2021-12-01,USA,Banned in Libraries
197,"Behar, Ruth",Lucky Broken Girl,Florida,Duval County Public Schools,2022-01-01,USA,Banned Pending Investigation
198,"Behar, Ruth",Lucky Broken Girl,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
199,"Belge, Kathy",Queer: The Ultimate LGBTQ Guide for Teens,Florida,St. Johns County School District,2022-05-01,USA,Banned in Libraries
200,"Belge, Kathy",Queer: The Ultimate LGBTQ Guide for Teens,Tennessee,Collierville Schools,2022-02-01,USA,Banned in Libraries and Classrooms
201,"Belge, Kathy",Queer: The Ultimate LGBTQ Guide for Teens,Wisconsin,Elmbrook Schools,2021-07-01,USA,Banned in Libraries and Classrooms
202,"Belge, Kathy",Queer: The Ultimate LGBTQ Guide for Teens,Wisconsin,School District of Waukesha,2021-12-01,USA,Banned in Libraries and Classrooms
203,"Bell, Derrick",Faces at the Bottom of the Well: The Permanence of Racism,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
204,"Bell, Eric",Alan Cole Is Not a Coward,Texas,North East Independent School District,2021-12-01,USA,Banned in Libraries
205,"Bell, William",Death Wind,Texas,Granbury Independent School District,2022-01-01,USA,Banned Pending Investigation
206,"Bell, William",Death Wind,Texas,North East Independent School District,2021-12-01,USA,Banned in Libraries
207,"Bell, William",La tormenta,Texas,North East Independent School District,2021-12-01,USA,Banned in Libraries
208,"Benincasa, Sara",Great,Texas,Granbury Independent School District,2022-01-01,USA,Banned Pending Investigation
209,"Benincasa, Sara",Great,Texas,North East Independent School District,2021-12-01,USA,Banned in Libraries
210,"Bennett, Kelly",Not Norman: A Goldfish Story,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
211,"Bennett, Michael",Things That Make White People Uncomfortable (Adapted for Young Adults),Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
212,"Benway, Robin",Far from the Tree,Indiana,Middlebury Community Schools,2021-12-01,USA,Banned in Libraries
213,"Benway, Robin",Far from the Tree,Tennessee,Hamilton County Schools,2021-10-01,USA,Banned Pending Investigation
214,"Benwell, Fox",Kaleidoscope Song,Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
215,"Berenstain, Jan",The Berenstain Bears and the Big Question (The Berenstain Bears Series),Florida,Duval County Public Schools,2022-01-01,USA,Banned Pending Investigation
216,"Bermudez, Cyn",This Place Is Not My Home,Florida,Duval County Public Schools,2022-01-01,USA,Banned Pending Investigation
217,"Bertie, Alex",Trans Mission: My Quest to a Beard,Kansas,Goddard Public Schools,2021-11-01,USA,Banned Pending Investigation
218,"Bertie, Alex",Trans Mission: My Quest to a Beard,Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
